,precision,recall,f1-score,support
neutral,0.55,0.6875,0.6111111111111112,16.0
calm,0.49056603773584906,0.8125,0.611764705882353,32.0
happy,0.375,0.28125,0.32142857142857145,32.0
sad,0.41379310344827586,0.375,0.39344262295081966,32.0
angry,0.8181818181818182,0.5625,0.6666666666666666,32.0
fearful,0.6666666666666666,0.1875,0.2926829268292683,32.0
disgust,0.5853658536585366,0.75,0.6575342465753424,32.0
surprised,0.7142857142857143,0.9375,0.8108108108108109,32.0
accuracy,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
macro avg,0.5767323992471076,0.57421875,0.545680207781868,240.0
weighted avg,0.5785145591969147,0.5666666666666667,0.5413181475599184,240.0
