,precision,recall,f1-score,support
neutral,0.3333333333333333,0.75,0.46153846153846156,16.0
calm,0.6666666666666666,0.6875,0.676923076923077,32.0
happy,0.26,0.40625,0.3170731707317073,32.0
sad,0.6666666666666666,0.0625,0.11428571428571428,32.0
angry,0.5,0.53125,0.5151515151515151,32.0
fearful,1.0,0.125,0.2222222222222222,32.0
disgust,0.5882352941176471,0.625,0.6060606060606061,32.0
surprised,0.6956521739130435,1.0,0.8205128205128205,32.0
accuracy,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333
macro avg,0.5888192668371697,0.5234375,0.4667209484282655,240.0
weighted avg,0.605851662404092,0.5083333333333333,0.4670664475542525,240.0
