epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds
1,2.0251973470052085,21.875,3.129042895634969,13.333333333333334,0.001,13.92695140838623
2,1.8563337882359823,28.958333333333332,2.757712729771932,13.333333333333334,0.001,1.5573546886444092
3,1.7474192182223003,33.333333333333336,1.7874679724375406,28.75,0.001,1.3260469436645508
4,1.674953571955363,36.25,1.7739137967427572,32.5,0.001,1.3538947105407715
5,1.5876626213391622,42.395833333333336,2.408794371287028,21.666666666666668,0.001,1.2959399223327637
6,1.5631003340085348,42.5,1.6217210372289022,31.666666666666668,0.001,1.649979591369629
7,1.5012894034385682,43.229166666666664,1.687991976737976,39.166666666666664,0.001,1.540337324142456
8,1.4721012790997823,46.875,2.600529416402181,19.583333333333332,0.001,1.6085014343261719
9,1.3977892518043518,49.270833333333336,1.5951938470204672,42.083333333333336,0.001,1.7599234580993652
10,1.3689206918080647,49.791666666666664,1.6946989933649699,33.75,0.001,1.2843108177185059
11,1.3340975125630696,48.645833333333336,1.781323210398356,33.333333333333336,0.001,1.2651231288909912
12,1.2846369663874309,52.5,2.014796733856201,33.333333333333336,0.001,1.274958848953247
13,1.2795438448588052,53.229166666666664,2.0030517260233562,35.0,0.0005,1.2755720615386963
14,1.2145740608374278,55.104166666666664,1.5952624797821044,37.083333333333336,0.0005,1.247035264968872
15,1.1619262893994649,57.083333333333336,1.48560924132665,48.75,0.0005,1.2345890998840332
16,1.1440327664216359,58.541666666666664,1.8566772143046062,37.5,0.0005,1.2487521171569824
17,1.117623351017634,58.645833333333336,1.3328343152999877,49.583333333333336,0.0005,1.3249523639678955
18,1.092330551147461,61.979166666666664,1.3468778332074482,48.75,0.0005,1.368168592453003
19,1.0657041629155477,61.354166666666664,1.6671699364980062,39.583333333333336,0.0005,1.5429894924163818
20,1.0387891093889872,62.708333333333336,1.31895299355189,51.25,0.0005,1.2251007556915283
21,1.0555365979671478,62.604166666666664,1.7010427037874858,44.166666666666664,0.0005,1.2676787376403809
22,1.08534055352211,59.375,1.3613193432490032,45.833333333333336,0.0005,1.251828670501709
23,1.0483606616655985,62.8125,1.4095502734184264,48.75,0.0005,1.2532098293304443
24,0.9710020105044047,63.958333333333336,1.8671970208485922,37.083333333333336,0.00025,1.2693750858306885
25,0.9593867103258769,65.20833333333333,1.32266370455424,50.833333333333336,0.00025,1.2445096969604492
26,0.8896695673465729,68.125,1.2844459692637125,51.25,0.00025,1.2908241748809814
27,0.9409920454025269,66.45833333333333,1.3669618606567382,46.25,0.00025,1.2674622535705566
28,0.934236220518748,66.66666666666667,1.6911355177561442,42.5,0.00025,1.2501120567321777
29,0.8711655100186666,70.52083333333333,1.4131033182144166,45.833333333333336,0.00025,1.235316276550293
30,0.8876091678937276,70.10416666666667,1.3669900059700013,50.0,0.000125,1.2219703197479248
31,0.8732390542825063,70.9375,1.265020728111267,52.5,0.000125,1.2557754516601562
32,0.8601422607898712,69.89583333333333,1.4954779148101807,44.583333333333336,0.000125,1.281109094619751
33,0.8574544628461201,69.47916666666667,1.2238532265027364,54.583333333333336,0.000125,1.23280930519104
34,0.8476384917894999,70.0,1.2219150026639303,53.75,0.000125,1.2607309818267822
35,0.7879953106244405,73.02083333333333,1.3400474627812704,49.583333333333336,0.000125,1.2839539051055908
36,0.8197537382443746,72.29166666666667,1.3260095715522766,47.5,0.000125,1.2387044429779053
37,0.8639806807041168,69.16666666666667,1.3221260865529378,47.5,0.000125,1.2479581832885742
38,0.8261714577674866,71.77083333333333,1.26315575838089,51.25,6.25e-05,1.2491285800933838
39,0.82746062874794,71.97916666666667,1.2868285457293192,51.25,6.25e-05,1.2534215450286865
40,0.8022990584373474,72.8125,1.269790271917979,55.0,6.25e-05,1.254270315170288
41,0.8138188183307647,71.77083333333333,1.2501107136408487,54.166666666666664,6.25e-05,1.2738330364227295
42,0.7766657729943593,74.0625,1.261371099948883,53.333333333333336,3.125e-05,1.2660131454467773
